JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458752.99306,13.9,,,Vis.,CMQ,,139,,X24734TO,,,,Z,,,,V3890 SGR,,STD,,,,
2458753.02503,14.021,0.033,,V,MGW,,117-000-BKQ-440,120-000-BKQ-441,X24745GK,T50 - SIDING SPRING,0,1.861,Z,11.400,11.696,,V3890 SGR,AAVSO,STD,,,,
2458753.02546,11.858,0.029,,I,MGW,,117-000-BKQ-440,120-000-BKQ-441,X24745GK,T50 - SIDING SPRING,0,1.868,Z,11.741,11.665,,V3890 SGR,AAVSO,STD,,,,
2458753.02596,14.631,0.081,,B,MGW,,117-000-BKQ-440,120-000-BKQ-441,X24745GK,T50 - SIDING SPRING,0,1.876,Z,12.415,12.978,,V3890 SGR,AAVSO,STD,,,,
2458753.30653,14.198,0.072,,V,RZD,,ENSEMBLE,,X24800AFY,,0,2.314,Z,,,,V3890 SGR,AAVSO,STD,,,,
2458753.30903,13.9,,,Vis.,OJR,,140,,X24734AG,,,,Z,,,,V3890 SGR,,STD,,,,
2458753.33396,14.091,0.062,,V,VMT,,000-BKX-561,000-BKQ-440,X24744BIR,STANDARD MAG: C = 11.502  K = 11.735,0,2.376,Z,18.011,18.245,,V3890 SGR,VVS,STD,,,,
2458753.33446,11.893,0.029,,I,VMT,,000-BKX-561,000-BKQ-440,X24744BIR,STANDARD MAG: C = 10.533  K = 10.943,0,2.380,Z,18.214,18.599,,V3890 SGR,VVS,STD,,,,
2458753.33469,12.482,0.022,,R,VMT,,000-BKX-561,000-BKQ-440,X24744BIR,STANDARD MAG: C = 11.001  K = 11.326,0,2.382,Z,17.648,17.958,,V3890 SGR,VVS,STD,,,,
2458753.33500,14.076,0.057,,V,VMT,,000-BKX-561,000-BKQ-440,X24744BIR,STANDARD MAG: C = 11.502  K = 11.735,0,2.385,Z,18.008,18.238,,V3890 SGR,VVS,STD,,,,
2458753.33524,14.769,0.134,,B,VMT,,000-BKX-561,000-BKQ-440,X24744BIR,STANDARD MAG: C = 12.120  K = 12.292,0,2.387,Z,19.075,19.239,,V3890 SGR,VVS,STD,,,,
2458753.33549,11.888,0.031,,I,VMT,,000-BKX-561,000-BKQ-440,X24744BIR,STANDARD MAG: C = 10.533  K = 10.943,0,2.390,Z,18.215,18.604,,V3890 SGR,VVS,STD,,,,
2458753.33574,12.463,0.021,,R,VMT,,000-BKX-561,000-BKQ-440,X24744BIR,STANDARD MAG: C = 11.001  K = 11.326,0,2.392,Z,17.638,17.907,,V3890 SGR,VVS,STD,,,,
2458753.3473,13.943,0.05,,TG,BLD,,ensemble,000-BKX-566,X24736FD,,0,,Z,,11.126,,V3890 SGR,ASSA,STD,,,,
2458753.47976,14.834,0.056,,B,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.781  K = 12.120,0,1.02,Z,18.096,18.471,,V3890 SGR,VVS,STD,,,,
2458753.48014,14.763,0.050,,B,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.781  K = 12.120,0,1.02,Z,18.106,18.471,,V3890 SGR,VVS,STD,,,,
2458753.48056,14.124,0.033,,V,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.108  K = 11.502,0,1.02,Z,17.095,17.499,,V3890 SGR,VVS,STD,,,,
2458753.48095,14.106,0.030,,V,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.108  K = 11.502,0,1.02,Z,17.093,17.507,,V3890 SGR,VVS,STD,,,,
2458753.48131,11.997,0.024,,I,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.156  K = 10.533,0,1.02,Z,18.173,18.593,,V3890 SGR,VVS,STD,,,,
2458753.48157,11.928,0.023,,I,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.156  K = 10.533,0,1.02,Z,18.186,18.603,,V3890 SGR,VVS,STD,,,,
2458753.48192,12.530,0.015,,R,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.616  K = 11.001,0,1.02,Z,17.256,17.655,,V3890 SGR,VVS,STD,,,,
2458753.48219,12.528,0.015,,R,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.616  K = 11.001,0,1.02,Z,17.264,17.646,,V3890 SGR,VVS,STD,,,,
2458753.51054,14.768,0.048,,B,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.781  K = 12.120,0,1.07,Z,18.120,18.482,,V3890 SGR,VVS,STD,,,,
2458753.51093,14.681,0.048,,B,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.781  K = 12.120,0,1.07,Z,18.130,18.494,,V3890 SGR,VVS,STD,,,,
2458753.51134,14.117,0.033,,V,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.108  K = 11.502,0,1.07,Z,17.115,17.522,,V3890 SGR,VVS,STD,,,,
2458753.51174,14.088,0.030,,V,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.108  K = 11.502,0,1.08,Z,17.117,17.514,,V3890 SGR,VVS,STD,,,,
2458753.51209,11.929,0.028,,I,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.156  K = 10.533,0,1.08,Z,18.199,18.597,,V3890 SGR,VVS,STD,,,,
2458753.51236,11.976,0.031,,I,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.156  K = 10.533,0,1.08,Z,18.178,18.596,,V3890 SGR,VVS,STD,,,,
2458753.51280,14.716,0.046,,B,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.781  K = 12.120,0,1.08,Z,18.121,18.475,,V3890 SGR,VVS,STD,,,,
