JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455802.9688,<14.0,,,Vis.,SRX,,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455803.97917,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455804.81944,<13.0,,,Vis.,LMK,K,12.91,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455805.08542,<12.0,,,TG,KBJ,,120,,2132aen,""" Unfiltered DSLR, vis est """,,,Z,,,,V745 SCO,,STD,,,,
2455805.77083,<13.6,,,Vis.,LMK,K,13.64,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455805.9590,<14.8,,,Vis.,SRX,,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455806.91458,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455806.9590,<14.4,,,Vis.,SRX,B,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455807.78819,<13.0,,,Vis.,LMK,K,12.91,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455811.211,15.7,0.2,,CR,MLF,,2UCAC17795683,2UCAC17795663,BERTO'S CHART,,0,15.7,Z,13.5,13.9,,V745 SCO,,STD,,,,
2455811.9618,<13.0,,,Vis.,SRX,B,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455813.78819,<14.4,,,Vis.,LMK,K,14.21,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455814.77083,<14.2,,,Vis.,LMK,BK,14.21,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455816.79514,<14.2,,,Vis.,LMK,BK,14.21,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455817.9632,<13.0,,,Vis.,SRX,B,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455818.75347,<14.5,,,Vis.,LMK,K,14.21,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455818.9208,<14.0,,,Vis.,SRX,,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455818.93472,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455819.79583,<12.0,,,Vis.,LMK,BU,113,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
